CategoryName;ItemId
Restrictions;com.apple.applicationaccess_allowunmanagedtoreadmanagedcontacts
Restrictions;com.apple.applicationaccess_ratingappsgb
Restrictions;com.apple.applicationaccess_safariforcefraudwarning
Restrictions;com.apple.applicationaccess_allowassistantwhilelocked
Restrictions;com.apple.applicationaccess_allowcontinuouspathkeyboard
Restrictions;com.apple.applicationaccess_allowautomaticappdownloads
Restrictions;com.apple.applicationaccess_forceairdropunmanaged
Restrictions;com.apple.applicationaccess_allowhostpairing
Restrictions;com.apple.applicationaccess_allowmarketplaceappinstallation
Restrictions;com.apple.applicationaccess_allowglobalbackgroundfetchwhenroaming
Restrictions;com.apple.applicationaccess_ratingappsca
